,Round,Hometeam,Scorehome,Scoreaway,Awayteam,Home,Draw,Away
0,7,Heidenheimer,4,1,Wurzburger Kickers,1.67,3.78,4.75
1,7,SV Sandhausen,2,2,Eintracht Braunschweig,1.94,3.51,3.62
2,7,Hannover 96,0,0,Erzgebirge Aue,1.49,4.00,6.29
3,7,Nurnberg,1,1,Fortuna Dusseldorf,2.44,3.28,2.77
4,7,VfL Bochum,0,2,Greuther Furth,2.21,3.38,3.04
5,7,Darmstadt,0,4,SC Paderborn 07,2.24,3.36,2.99
6,7,St. Pauli,0,3,Karlsruher SC,2.44,3.30,2.76
7,7,Jahn Regensburg,2,4,VfL Osnabruck,2.25,3.23,3.05
8,7,Holstein Kiel,1,1,Hamburger SV,2.89,3.38,2.29
9,8,Holstein Kiel,2,2,Heidenheimer,2.20,3.35,3.08
10,8,SC Paderborn 07,2,0,St. Pauli,1.90,3.66,3.56
11,8,Eintracht Braunschweig,1,3,Karlsruher SC,2.66,3.31,2.50
12,8,Fortuna Dusseldorf,1,0,SV Sandhausen,1.93,3.47,3.66
13,8,Wurzburger Kickers,2,1,Hannover 96,3.83,3.72,1.82
14,8,Erzgebirge Aue,3,0,Darmstadt,2.55,3.28,2.61
15,8,Greuther Furth,3,1,Jahn Regensburg,2.06,3.48,3.28
16,8,Hamburger SV,1,3,VfL Bochum,1.71,3.78,4.57
17,8,VfL Osnabruck,1,4,Nurnberg,2.24,3.35,3.01
18,9,Darmstadt,4,0,Eintracht Braunschweig,1.74,3.62,4.50
19,9,St. Pauli,0,1,VfL Osnabruck,2.21,3.35,3.05
20,9,Jahn Regensburg,2,1,Wurzburger Kickers,1.96,3.61,3.44
21,9,SV Sandhausen,1,4,Erzgebirge Aue,2.21,3.32,3.12
22,9,Karlsruher SC,1,0,SC Paderborn 07,2.59,3.32,2.57
23,9,Hannover 96,0,3,Holstein Kiel,2.04,3.44,3.39
24,9,Heidenheimer,3,2,Hamburger SV,3.50,3.39,2.02
25,9,Nurnberg,2,3,Greuther Furth,2.69,3.29,2.51
26,9,VfL Bochum,5,0,Fortuna Dusseldorf,2.24,3.31,3.05
27,10,Fortuna Dusseldorf,3,2,Darmstadt,2.08,3.42,3.31
28,10,Holstein Kiel,3,1,VfL Bochum,2.26,3.39,2.93
29,10,VfL Osnabruck,1,2,Karlsruher SC,2.51,3.23,2.67
30,10,Greuther Furth,0,1,Heidenheimer,2.03,3.49,3.33
31,10,Hamburger SV,0,1,Hannover 96,1.90,3.59,3.71
32,10,Eintracht Braunschweig,2,1,St. Pauli,2.65,3.36,2.49
33,10,Erzgebirge Aue,0,2,Jahn Regensburg,2.25,3.35,3.01
34,10,SC Paderborn 07,0,2,Nurnberg,1.95,3.59,3.52
35,10,Wurzburger Kickers,2,3,SV Sandhausen,2.57,3.27,2.63
36,11,VfL Bochum,3,0,SC Paderborn 07,2.20,3.35,3.08
37,11,SV Sandhausen,0,3,Greuther Furth,2.98,3.31,2.28
38,11,Jahn Regensburg,2,3,Holstein Kiel,2.92,3.30,2.31
39,11,Darmstadt,1,2,Hamburger SV,3.31,3.45,2.07
40,11,Heidenheimer,1,0,Hannover 96,2.39,3.25,2.85
41,11,Eintracht Braunschweig,0,2,VfL Osnabruck,2.72,3.34,2.43
42,11,Karlsruher SC,1,2,Fortuna Dusseldorf,2.08,3.35,3.37
43,11,Nurnberg,2,1,Wurzburger Kickers,1.77,3.64,4.24
